X,Y,Day
244204.16625,6789582.7275,6
401495.2315270936,6799329.347783252,3
313593.6379310345,6780990.818965517,2
390025.3028485757,6681725.43928036,6
477265.6414762742,6797178.123022847,1
264781.51618257264,6869511.219917012,5
283578.02494802495,6722996.822245322,3
318803.549277825,6756606.870008497,1
286121.35539568344,6861534.149640288,4
433186.95652173914,7218196.327122153,4
492623.1452859351,6925959.171561051,4
418477.4344741235,6764169.646076795,5
326425.75595238095,6673996.851190476,4
510797.20942408376,7052512.858638744,5
417115.8817891374,7165337.984025559,1
508463.60759493674,7400574.987341772,3
426029.5725018783,6841885.797145003,6
503124.86711409397,7089536.22147651,2
276868.59485530545,6999041.324758843,2
416893.81129271915,6689541.595839525,2
386488.21832358674,6699167.888888889,2
361460.43150414526,6796258.135412554,7
558781.0558375635,6989675.010152284,1
248218.3747645951,6735988.881355932,4
431098.92495636997,7205206.268760907,6
444983.320610687,7275584.180661578,5
464841.39351851854,7431995.296296297,1
384077.0711206897,6675834.439655173,4
426649.3764044944,6717777.332865168,4
424443.7845849802,7156786.403162056,3
