X,Y,Day
261819.13973799127,6976709.358078603,4
435429.4347826087,6912010.447826087,4
279621.1960784314,7006825.105882353,7
242280.3253205128,6743710.375,2
265269.1111111111,6977776.858974359,6
443541.24923076923,7287342.387692308,1
382569.6534508076,6688153.672540382,7
553774.915601023,6998473.933503836,1
380368.0863387978,6682107.521311475,2
336045.5606060606,7076697.613636363,4
558039.3164556962,6847995.189873418,6
383759.0077444337,6689985.7502420135,1
295202.7029360967,6820556.2331606215,1
228087.872,6808284.368,6
445415.227154047,7279925.767624021,5
484800.22636815923,6758082.305970149,4
451221.2419354839,7263124.561827957,3
299034.38095238095,6825158.587301588,5
269789.10452261305,6774233.301507537,3
438268.4778325123,6914602.9408867,2
449039.0773993808,7274855.111455108,2
285420.82857142854,7012649.161904762,2
482882.2387096774,6767313.152688172,5
380281.785335689,6690850.6634275615,5
445044.5850340136,6917535.904761905,7
247317.5582255083,6725928.456561922,1
384104.26422764227,6686471.757113821,4
353623.37362637365,7091598.615384615,6
381625.18244170095,6687579.4417009605,6
584041.2955465587,6962078.497975709,4
257182.38082901554,6710733.852331607,6
452657.44,7295729.043333333,6
413112.4408945687,6749180.9329073485,2
567974.9170124482,7011664.614107884,6
226699.58671586716,6809913.487084871,4
476314.1918294849,6800706.504440498,1
524393.588,6770610.18,2
231726.42794759825,6815119.807860262,7
258365.35606060605,6712402.0227272725,7
459003.96405228757,6751286.696078432,6
325727.56334231806,6805507.956873315,6
484121.4727891156,6764730.857142857,7
572472.8494983277,6997581.183946488,2
297618.2737068966,7021354.788793104,5
527345.163064833,6924704.571709233,3
325695.91603053437,6813231.162849872,4
461742.73863636365,7159965.806818182,7
452238.95867768594,7399805.983471074,4
398523.23788217746,6701513.51230425,3
327537.4092307692,6810014.935384615,7
244800.86496350364,6730202.583941606,5
317609.0551558753,6817324.309352518,2
287645.25737265416,7018868.965147453,1
426429.4382022472,6918734.06741573,6
525872.4794745485,6966850.875205254,5
460839.58914728684,7184968.426356589,4
588313.901098901,6949762.945054945,7
253711.1858190709,6713138.62591687,4
447321.42718446604,7396369.95145631,7
287893.7472222222,7006922.622222222,3
